CMG,B Relative Weight,C Relative Weight,D Relative Weight,A Relative Weight,B Avg Length Of Stay,C Avg Length Of Stay,D Avg Length Of Stay,A Avg Length Of Stay
0101,0.7853,0.7150,0.6512,0.6248,9,10,8,8
0102,0.9836,0.8955,0.8155,0.7826,11,11,10,10
0103,1.1636,1.0594,0.9648,0.9258,12,14,12,12
0104,1.2121,1.1036,1.0050,0.9644,13,13,12,12
0105,1.4155,1.2888,1.1737,1.1262,14,14,14,14
0106,1.6135,1.4691,1.3379,1.2838,16,16,15,15
0107,1.8026,1.6412,1.4946,1.4342,17,19,17,17
0108,2.2467,2.0456,1.8629,1.7876,22,24,21,21
0109,2.0570,1.8728,1.7055,1.6366,19,20,19,19
0110,2.6928,2.4518,2.2328,2.1425,28,27,24,24
0201,0.8145,0.6636,0.5954,0.5680,10,9,8,8
0202,1.0591,0.8629,0.7741,0.7385,12,10,9,10
0203,1.2162,0.9909,0.8890,0.8481,13,12,12,11
0204,1.3397,1.0915,0.9793,0.9342,12,13,12,12
0205,1.5924,1.2974,1.1640,1.1104,14,15,14,14
0206,1.9327,1.5747,1.4127,1.3477,19,18,16,16
0207,2.5640,2.0890,1.8741,1.7880,32,25,21,20
0301,1.1022,0.9324,0.8453,0.7798,10,11,10,10
0302,1.3799,1.1673,1.0582,0.9762,13,13,12,12
0303,1.6371,1.3849,1.2555,1.1583,16,15,14,14
0304,2.1541,1.8222,1.6520,1.5240,23,21,18,17
0401,1.0264,0.8790,0.8131,0.7251,12,12,10,9
0402,1.4108,1.2081,1.1176,0.9966,15,14,14,13
0403,2.3059,1.9747,1.8268,1.6289,26,21,20,20
0404,4.0832,3.4967,3.2348,2.8845,54,40,33,33
0405,3.3355,2.8564,2.6425,2.3563,26,34,29,27
0501,0.8418,0.6804,0.6237,0.5643,9,10,9,8
0502,1.1580,0.9359,0.8579,0.7763,11,12,10,10
0503,1.4373,1.1616,1.0648,0.9635,15,13,13,12
0504,1.6935,1.3687,1.2546,1.1352,17,15,15,14
0505,1.9365,1.5651,1.4346,1.2981,20,17,17,16
0506,2.7066,2.1875,2.0052,1.8144,26,25,23,21
0601,1.0293,0.8149,0.7526,0.6862,9,10,9,9
0602,1.3283,1.0516,0.9713,0.8856,12,12,11,11
0603,1.6727,1.3243,1.2231,1.1152,15,15,13,13
0604,2.1908,1.7345,1.6020,1.4607,21,19,17,17
0701,0.9700,0.8060,0.7727,0.7036,10,9,10,9
0702,1.2429,1.0327,0.9901,0.9016,13,12,12,11
0703,1.5056,1.2511,1.1994,1.0922,15,15,14,13
0704,1.9359,1.6086,1.5421,1.4044,19,18,17,17
0801,0.7402,0.6068,0.5608,0.5172,8,8,7,7
0802,0.9891,0.8109,0.7495,0.6912,10,10,9,9
0803,1.3374,1.0963,1.0133,0.9345,13,13,12,12
0804,1.1821,0.9690,0.8956,0.8260,12,12,11,10
0805,1.4702,1.2053,1.1140,1.0274,14,14,13,12
0806,1.7663,1.4479,1.3383,1.2342,16,17,15,14
0901,0.9386,0.7581,0.7069,0.6392,10,9,9,8
0902,1.2382,1.0000,0.9325,0.8432,12,12,11,10
0903,1.5552,1.2561,1.1713,1.0591,15,15,14,13
0904,1.9772,1.5968,1.4890,1.3464,19,18,17,16
1001,1.0224,0.9300,0.8055,0.7365,11,12,10,10
1002,1.3168,1.1978,1.0374,0.9485,14,14,12,11
1003,1.8778,1.7081,1.4794,1.3527,18,19,17,16
1101,1.2643,1.0143,1.0050,0.8569,12,13,12,10
1102,1.8936,1.5192,1.5052,1.2835,17,19,16,15
1201,1.0034,0.9522,0.8881,0.8256,10,11,11,10
1202,1.1916,1.1308,1.0547,0.9805,11,12,12,12
1203,1.5133,1.4360,1.3393,1.2452,13,16,15,15
1301,1.2220,0.9887,0.8677,0.8181,12,12,10,10
1302,1.5913,1.2874,1.1299,1.0653,17,14,13,13
1303,2.0302,1.6425,1.4416,1.3591,18,19,16,15
1401,0.9032,0.7324,0.6671,0.6051,9,10,8,8
1402,1.1947,0.9689,0.8825,0.8004,12,11,11,10
1403,1.4699,1.1920,1.0857,0.9847,14,13,12,12
1404,1.8493,1.4998,1.3660,1.2390,18,17,15,14
1501,0.9998,0.8150,0.7537,0.7283,10,10,9,8
1502,1.2986,1.0586,0.9791,0.9461,13,11,11,10
1503,1.5918,1.2976,1.2001,1.1597,15,14,13,13
1504,1.9688,1.6049,1.4843,1.4343,20,17,15,15
1601,0.9445,0.8763,0.8085,0.7620,10,10,9,10
1602,1.2509,1.1606,1.0708,1.0092,13,13,13,12
1603,1.5845,1.4703,1.3565,1.2784,14,17,16,15
1701,1.0432,0.9290,0.8566,0.7881,11,11,10,10
1702,1.3109,1.1674,1.0764,0.9903,13,14,12,12
1703,1.5378,1.3694,1.2627,1.1617,16,16,15,14
1704,1.9856,1.7682,1.6303,1.5000,20,20,18,17
1801,1.0662,0.9437,0.8082,0.7231,11,11,10,9
1802,1.6884,1.4945,1.2798,1.1451,17,16,15,14
1803,2.8097,2.4869,2.1297,1.9055,32,28,22,22
1901,1.0421,0.9341,0.9263,0.8837,15,10,13,11
1902,1.8757,1.6814,1.6672,1.5905,25,19,18,19
1903,3.3752,3.0255,3.0000,2.8620,44,31,36,31
2001,0.8827,0.7250,0.6681,0.6098,9,8,8,8
2002,1.1872,0.9751,0.8986,0.8201,12,11,11,10
2003,1.5061,1.2370,1.1400,1.0405,15,14,13,12
2004,1.9507,1.6021,1.4765,1.3475,20,18,16,15
2101,1.8405,1.6766,1.5548,1.3534,27,18,17,16
5001,0.0000,0.0000,0.0000,0.1549,0,0,0,2
5101,0.0000,0.0000,0.0000,0.6791,0,0,0,7
5102,0.0000,0.0000,0.0000,1.5539,0,0,0,16
5103,0.0000,0.0000,0.0000,0.7274,0,0,0,8
5104,0.0000,0.0000,0.0000,1.9477,0,0,0,21
9999,0.0000,0.0000,0.0000,0.0000,0,0,0,0
