CMG,B Relative Weight,C Relative Weight,D Relative Weight,A Relative Weight,B Avg Length Of Stay,C Avg Length Of Stay,D Avg Length Of Stay,A Avg Length Of Stay
1404,1.8371,1.5098,1.3653,1.2286,17,17,15,14
1501,1.0526,0.8479,0.7807,0.7512,11,10,9,9
1502,1.3349,1.0754,0.9901,0.9527,12,12,11,11
1503,1.6150,1.3010,1.1978,1.1526,15,13,13,13
1504,2.0063,1.6163,1.4881,1.4319,21,17,15,15
1601,1.1376,0.8365,0.8218,0.7556,11,10,10,9
1602,1.4940,1.0985,1.0792,0.9923,14,13,12,12
1603,1.9109,1.4050,1.3803,1.2692,15,15,15,15
1701,1.0705,0.9081,0.8286,0.7711,10,10,11,9
1702,1.3897,1.1788,1.0756,1.0010,13,14,12,12
1703,1.5913,1.3498,1.2317,1.1463,19,15,14,14
1704,2.0891,1.7721,1.6169,1.5048,21,20,18,17
1801,1.2783,0.9685,0.8849,0.7874,14,12,11,10
1802,1.8807,1.4248,1.3019,1.1584,18,17,15,14
1803,3.0933,2.3435,2.1413,1.9054,32,27,22,21
1901,1.1826,1.0281,0.9998,0.8741,16,11,12,11
1902,2.2408,1.9481,1.8945,1.6563,26,22,21,20
1903,3.7479,3.2583,3.1687,2.7703,52,32,27,32
2001,0.9252,0.7603,0.7013,0.6348,9,9,9,8
2002,1.2002,0.9863,0.9097,0.8234,11,11,10,10
2003,1.4943,1.2280,1.1327,1.0253,14,14,13,12
2004,1.9243,1.5814,1.4586,1.3203,18,18,16,15
2101,1.7151,1.7151,1.3313,1.2915,18,18,15,15
5001,0.0000,0.0000,0.0000,0.1556,0,0,0,2
5101,0.0000,0.0000,0.0000,0.7236,0,0,0,8
5102,0.0000,0.0000,0.0000,1.6315,0,0,0,17
5103,0.0000,0.0000,0.0000,0.7734,0,0,0,8
5104,0.0000,0.0000,0.0000,1.9277,0,0,0,21
9999,0.0000,0.0000,0.0000,0.0000,0,0,0,0
